@relation CombinePD-CO

@attribute Total_Left numeric
@attribute Total_Right numeric
@attribute PD-Yes-Control-No {Yes,No}

@data
689.81,0,Yes
691.68,0,Yes
697.73,0,Yes
697.07,0,Yes
696.85,0,Yes
699.16,0,Yes
707.3,0,Yes
712.03,0,Yes
708.4,0,Yes
707.19,0,Yes
707.19,0,Yes
708.18,0,Yes
703.89,0,Yes
709.5,0,Yes
706.2,0,Yes
701.03,0,Yes
694.76,0,Yes
688.82,0,Yes
688.16,0,Yes
678.48,0,Yes
667.81,0,Yes
666.38,0,Yes
660.22,0,Yes
651.97,0,Yes
653.07,6.93,Yes
645.7,27.72,Yes
633.93,46.31,Yes
624.47,74.58,Yes
613.47,135.85,Yes
593.56,189.09,Yes
583.88,226.93,Yes
566.06,265.65,Yes
548.24,302.06,Yes
516.34,324.61,Yes
492.25,338.25,Yes
464.53,358.71,Yes
423.39,387.75,Yes
382.69,408.1,Yes
331.76,424.6,Yes
276.76,443.74,Yes
222.64,462.22,Yes
175.78,475.64,Yes
144.1,496.43,Yes
114.51,512.05,Yes
76.01,536.69,Yes
50.82,552.42,Yes
34.54,579.92,Yes
19.58,597.96,Yes
8.8,616.44,Yes
0,637.56,Yes
0,658.68,Yes
0,674.3,Yes
0,689.81,Yes
0,699.05,Yes
0,704.66,Yes
0,708.07,Yes
0,713.68,Yes
0,716.1,Yes
0,711.92,Yes
0,713.46,Yes
0,714.78,Yes
0,711.92,Yes
0,710.93,Yes
0,709.06,Yes
0,704.11,Yes
0,706.09,Yes
0,700.37,Yes
0,704,Yes
0,699.82,Yes
0,700.26,Yes
0,703.34,Yes
0,703.01,Yes
0,707.19,Yes
0,710.49,Yes
0,711.92,Yes
0,713.57,Yes
0,721.27,Yes
0,719.18,Yes
0,723.58,Yes
0,726.66,Yes
0,728.75,Yes
0,728.97,Yes
0,724.46,Yes
0,721.38,Yes
0,718.74,Yes
0,713.68,Yes
0,710.71,Yes
0,707.63,Yes
0,701.91,Yes
0,692.67,Yes
0,688.38,Yes
0,670.23,Yes
0,651.97,Yes
5.06,643.39,Yes
10.12,632.39,Yes
17.71,620.84,Yes
27.83,609.84,Yes
45.54,589.05,Yes
83.38,572.77,Yes
127.05,545.6,Yes
172.59,524.26,Yes
215.71,489.39,Yes
258.83,462.66,Yes
306.57,428.89,Yes
334.4,388.63,Yes
364.76,352.77,Yes
391.6,320.32,Yes
406.56,284.68,Yes
416.46,264.11,Yes
415.91,227.81,Yes
414.26,194.04,Yes
427.02,169.73,Yes
434.5,149.71,Yes
431.42,132.33,Yes
454.19,118.47,Yes
465.19,102.3,Yes
482.68,83.93,Yes
495.77,63.25,Yes
524.15,45.87,Yes
545.38,27.94,Yes
573.98,16.39,Yes
585.75,5.72,Yes
603.57,0,Yes
619.52,0,Yes
630.74,0,Yes
634.26,0,Yes
640.75,0,Yes
645.7,0,Yes
647.35,0,Yes
645.81,0,Yes
658.02,0,Yes
658.13,0,Yes
656.48,0,Yes
658.46,0,Yes
656.81,0,Yes
650.32,0,Yes
655.6,0,Yes
651.2,0,Yes
649.55,0,Yes
650.1,0,Yes
648.23,0,Yes
650.32,0,Yes
658.46,0,Yes
655.38,0,Yes
659.01,0,Yes
662.09,0,Yes
662.53,0,Yes
664.4,0,Yes
666.27,0,Yes
666.27,0,Yes
669.46,0,Yes
676.28,0,Yes
668.25,0,Yes
671.88,0,Yes
678.26,0,Yes
680.46,0,Yes
676.94,0,Yes
685.3,0,Yes
686.18,0,Yes
691.9,0,Yes
685.74,0,Yes
686.73,0,Yes
682.77,0,Yes
682.55,0,Yes
670.56,0,Yes
665.06,0,Yes
653.07,9.24,Yes
635.91,32.45,Yes
621.5,55.55,Yes
594.33,113.3,Yes
576.4,180.95,Yes
558.91,243.87,Yes
537.68,285.01,Yes
517.88,324.61,Yes
489.72,359.59,Yes
467.06,394.24,Yes
440,415.36,Yes
413.49,437.69,Yes
372.68,450.89,Yes
343.2,453.31,Yes
324.83,458.59,Yes
300.3,458.15,Yes
265.32,460.02,Yes
225.17,465.08,Yes
170.72,466.95,Yes
126.94,478.72,Yes
90.97,491.59,Yes
85.69,507.87,Yes
74.14,526.35,Yes
63.58,545.27,Yes
44,565.84,Yes
26.4,591.69,Yes
8.8,605.55,Yes
0,627.55,Yes
0,642.18,Yes
0,655.38,Yes
0,670.01,Yes
0,677.71,Yes
0,683.87,Yes
0,687.61,Yes
0,689.59,Yes
0,693.88,Yes
0,696.74,Yes
0,699.6,Yes
0,700.81,Yes
0,707.3,Yes
0,711.37,Yes
0,711.81,Yes
0,715.55,Yes
0,713.68,Yes
0,721.6,Yes
0,720.17,Yes
0,720.61,Yes
0,719.84,Yes
0,720.39,Yes
0,718.74,Yes
0,722.59,Yes
0,722.7,Yes
0,723.47,Yes
0,726.22,Yes
0,726.55,Yes
0,733.26,Yes
0,733.37,Yes
0,741.18,Yes
0,746.35,Yes
0,745.58,Yes
0,742.06,Yes
0,743.6,Yes
0,740.08,Yes
0,736.12,Yes
0,731.5,Yes
0,732.05,Yes
0,730.51,Yes
0,719.4,Yes
0,715.99,Yes
0,706.53,Yes
0,703.23,Yes
0,690.69,Yes
0,683.87,Yes
0,674.96,Yes
5.06,669.13,Yes
10.12,655.16,Yes
17.71,642.95,Yes
32.89,624.91,Yes
69.52,612.81,Yes
176.33,601.15,Yes
213.07,571.12,Yes
245.74,537.79,Yes
268.4,507.21,Yes
297.66,473,Yes
313.06,433.84,Yes
332.53,389.51,Yes
358.49,346.94,Yes
373.45,308.77,Yes
385.44,288.42,Yes
392.48,259.71,Yes
407.11,230.89,Yes
416.24,194.92,Yes
432.96,159.5,Yes
449.24,138.71,Yes
469.48,122.65,Yes
484.33,108.79,Yes
502.04,85.91,Yes
524.48,63.25,Yes
539.55,41.47,Yes
556.16,24.09,Yes
566.39,13.42,Yes
581.24,7.59,Yes
591.36,0,Yes
604.45,0,Yes
614.57,0,Yes
621.5,0,Yes
628.43,0,Yes
636.35,0,Yes
642.73,0,Yes
644.71,0,Yes
654.17,0,Yes
659.23,0,Yes
652.63,0,Yes
652.96,0,Yes
656.59,0,Yes
650.1,0,Yes
648.23,0,Yes
642.84,0,Yes
643.94,0,Yes
640.2,0,Yes
641.74,0,Yes
642.84,0,Yes
643.83,0,Yes
646.69,0,Yes
648.67,0,Yes
651.31,0,Yes
652.41,0,Yes
651.75,0,Yes
659.67,0,Yes
661.1,0,Yes
662.09,0,Yes
662.2,0,Yes
662.53,0,Yes
667.26,0,Yes
661.76,0,Yes
660.88,0,Yes
656.7,0,Yes
657.25,0,Yes
656.15,0,Yes
656.92,0,Yes
653.07,0,Yes
648.12,0,Yes
650.21,0,Yes
645.7,0,Yes
642.51,9.24,Yes
630.74,25.41,Yes
622.82,46.31,Yes
613.25,73.37,Yes
605.88,114.73,Yes
596.53,152.35,Yes
585.64,183.26,Yes
568.92,220.88,Yes
553.19,250.25,Yes
534.93,272.36,Yes
511.17,301.62,Yes
483.56,321.53,Yes
455.84,347.71,Yes
424.82,368.72,Yes
392.15,389.29,Yes
367.51,400.73,Yes
352.55,414.81,Yes
328.46,428.78,Yes
295.79,438.02,Yes
253.11,452.1,Yes
206.8,466.18,Yes
149.49,480.26,Yes
116.38,502.37,Yes
107.8,521.07,Yes
90.97,541.75,Yes
68.86,563.86,Yes
54.78,583.11,Yes
32.78,600.38,Yes
8.8,618.86,Yes
0,640.53,Yes
0,657.03,Yes
0,671.44,Yes
0,687.06,Yes
0,698.94,Yes
0,710.05,Yes
0,717.31,Yes
0,723.03,Yes
0,733.26,Yes
0,732.27,Yes
0,732.38,Yes
0,735.24,Yes
0,735.24,Yes
0,733.59,Yes
0,731.72,Yes
0,733.26,Yes
0,728.09,Yes
0,734.25,Yes
0,726.88,Yes
0,727.54,Yes
0,725.67,Yes
0,727.43,Yes
0,724.46,Yes
0,734.03,Yes
0,728.86,Yes
0,734.25,Yes
0,735.24,Yes
0,730.73,Yes
0,736.89,Yes
0,742.72,Yes
0,739.2,Yes
0,741.84,Yes
0,749.98,Yes
0,745.25,Yes
0,745.03,Yes
0,742.94,Yes
0,738.76,Yes
0,735.13,Yes
0,730.73,Yes
0,734.03,Yes
0,732.71,Yes
0,726.55,Yes
0,722.92,Yes
0,719.84,Yes
0,715.33,Yes
0,704.55,Yes
5.06,696.74,Yes
12.65,685.41,Yes
20.24,671.66,Yes
27.83,654.94,Yes
43.89,645.15,Yes
81.51,627.99,Yes
133.1,608.41,Yes
188.32,582.89,Yes
235.29,540.54,Yes
268.84,498.19,Yes
295.9,464.31,Yes
327.14,423.06,Yes
351.67,361.46,Yes
383.57,330,Yes
400.95,296.45,Yes
409.86,280.83,Yes
426.14,252.12,Yes
437.36,222.53,Yes
455.4,193.49,Yes
471.24,162.69,Yes
486.42,134.31,Yes
509.85,124.96,Yes
524.04,108.79,Yes
539.99,88.11,Yes
552.86,74.47,Yes
573.32,47.19,Yes
581.68,29.92,Yes
597.85,15.29,Yes
607.97,9.57,Yes
622.49,5.72,Yes
632.61,0,Yes
642.84,0,Yes
646.36,0,Yes
650.1,0,Yes
659.56,0,Yes
655.27,0,Yes
659.01,0,Yes
666.71,0,Yes
660.44,0,Yes
660.88,0,Yes
659.34,0,Yes
655.49,0,Yes
653.73,0,Yes
649.44,0,Yes
654.5,0,Yes
648.45,0,Yes
652.41,0,Yes
655.27,0,Yes
651.97,0,Yes
655.71,0,Yes
655.82,0,Yes
658.13,0,Yes
654.83,0,Yes
660.11,0,Yes
660.66,0,Yes
659.01,0,Yes
659.34,0,Yes
664.18,0,Yes
667.48,0,Yes
664.29,0,Yes
667.59,0,Yes
677.05,0,Yes
677.38,0,Yes
674.3,0,Yes
679.8,0,Yes
682.44,0,Yes
684.75,0,Yes
691.79,0,Yes
688.49,0,Yes
692.12,0,Yes
691.68,0,Yes
697.4,0,Yes
692.01,0,Yes
690.91,0,Yes
683.65,0,Yes
685.3,0,Yes
677.49,0,Yes
667.59,0,Yes
658.46,0,Yes
637.56,20.79,Yes
628.98,39.38,Yes
618.53,55.55,Yes
604.34,84.48,Yes
591.03,142.89,Yes
579.7,189.2,Yes
560.34,223.74,Yes
546.37,246.95,Yes
529.32,273.68,Yes
504.02,306.46,Yes
473.33,339.9,Yes
434.39,368.72,Yes
407.99,392.15,Yes
378.51,402.27,Yes
346.72,412.94,Yes
302.94,424.71,Yes
254.43,433.73,Yes
199.98,445.39,Yes
153.45,454.74,Yes
132.55,463.87,Yes
115.5,472.89,Yes
106.92,484.77,Yes
90.97,504.9,Yes
71.94,515.68,Yes
50.38,531.96,Yes
26.4,547.58,Yes
13.2,568.92,Yes
0,582.45,Yes
0,594.66,Yes
0,604.34,Yes
0,615.67,Yes
0,625.79,Yes
0,637.78,Yes
0,642.62,Yes
0,643.28,Yes
0,648.12,Yes
0,649.99,Yes
0,650.65,Yes
0,661.54,Yes
0,664.51,Yes
0,669.35,Yes
0,667.04,Yes
0,664.84,Yes
0,670.78,Yes
0,665.94,Yes
0,661.76,Yes
0,657.58,Yes
0,657.58,Yes
0,660.99,Yes
0,659.45,Yes
0,663.19,Yes
0,671.77,Yes
0,677.6,Yes
0,685.63,Yes
0,695.09,Yes
0,705.54,Yes
0,711.15,Yes
0,716.21,Yes
0,717.2,Yes
0,717.64,Yes
0,722.81,Yes
0,718.41,Yes
0,719.18,Yes
0,724.57,Yes
0,729.74,Yes
0,724.68,Yes
0,734.69,Yes
0,738.1,Yes
0,741.51,Yes
0,740.74,Yes
0,740.41,Yes
0,742.06,Yes
0,732.6,Yes
0,729.3,Yes
0,714.67,Yes
0,707.85,Yes
0,705.1,Yes
0,693.11,Yes
5.06,679.03,Yes
12.65,664.29,Yes
22.77,644.82,Yes
35.42,626.01,Yes
57.64,605,Yes
124.52,579.15,Yes
182.71,551.32,Yes
222.75,531.74,Yes
275.11,494.56,Yes
300.96,460.13,Yes
328.79,413.93,Yes
354.53,375.87,Yes
376.31,325.93,Yes
387.2,284.02,Yes
399.85,251.02,Yes
401.28,225.83,Yes
409.09,214.72,Yes
413.6,196.68,Yes
420.09,166.98,Yes
427.79,140.58,Yes
434.17,121.22,Yes
448.36,106.81,Yes
470.14,99.77,Yes
489.06,90.42,Yes
504.9,78.87,Yes
521.95,65.23,Yes
538.56,42.24,Yes
559.24,24.97,Yes
569.47,11.44,Yes
586.41,7.59,Yes
593.45,0,Yes
609.18,0,Yes
618.42,0,Yes
628.21,0,Yes
638.11,0,Yes
645.04,0,Yes
645.59,0,Yes
649.33,0,Yes
651.09,0,Yes
657.36,0,Yes
657.58,0,Yes
656.15,0,Yes
656.26,0,Yes
657.36,0,Yes
656.15,0,Yes
657.91,0,Yes
659.78,0,Yes
658.13,0,Yes
660.11,0,Yes
660,0,Yes
664.84,0,Yes
664.95,0,Yes
667.04,0,Yes
671.99,0,Yes
673.09,0,Yes
674.96,0,Yes
672.98,0,Yes
680.46,0,Yes
682.22,0,Yes
682.99,0,Yes
679.03,0,Yes
677.71,0,Yes
678.59,0,Yes
674.08,0,Yes
668.03,0,Yes
667.81,0,Yes
664.84,0,Yes
659.45,0,Yes
660.99,0,Yes
655.82,0,Yes
648.89,0,Yes
643.5,0,Yes
638.55,16.17,Yes
619.52,34.76,Yes
606.76,57.97,Yes
591.58,99.99,Yes
580.58,153.01,Yes
569.69,192.5,Yes
543.95,216.48,Yes
532.62,234.96,Yes
513.92,260.37,Yes
495.44,294.91,Yes
478.28,327.36,Yes
445.5,352.88,Yes
412.06,384.34,Yes
380.93,401.61,Yes
357.61,415.47,Yes
343.97,427.35,Yes
318.23,440.55,Yes
281.27,443.3,Yes
234.74,459.69,Yes
180.4,465.52,Yes
137.06,477.4,Yes
101.64,491.04,Yes
90.97,508.31,Yes
85.69,524.92,Yes
63.58,541.42,Yes
45.98,559.13,Yes
22,573.32,Yes
8.8,596.31,Yes
0,612.48,Yes
0,626.89,Yes
0,642.18,Yes
0,656.04,Yes
0,662.53,Yes
0,672.54,Yes
0,681.56,Yes
0,686.84,Yes
0,697.07,Yes
0,700.92,Yes
0,701.36,Yes
0,702.79,Yes
0,705.21,Yes
0,703.78,Yes
0,701.91,Yes
0,699.71,Yes
0,697.73,Yes
0,694.54,Yes
0,695.09,Yes
0,695.53,Yes
0,692.89,Yes
0,699.05,Yes
0,702.46,Yes
0,700.04,Yes
0,701.03,Yes
0,716.32,Yes
0,716.43,Yes
0,719.73,Yes
0,730.73,Yes
0,731.72,Yes
0,737.33,Yes
0,740.19,Yes
0,743.16,Yes
0,746.13,Yes
0,744.04,Yes
0,750.2,Yes
0,750.09,Yes
0,751.41,Yes
0,751.52,Yes
0,747.45,Yes
0,740.85,Yes
0,738.21,Yes
0,738.43,Yes
0,735.13,Yes
0,724.57,Yes
0,721.49,Yes
0,714.56,Yes
0,701.03,Yes
0,695.42,Yes
10.12,679.14,Yes
17.71,662.31,Yes
27.83,652.63,Yes
47.41,630.74,Yes
99.11,618.64,Yes
165.99,602.58,Yes
206.25,585.64,Yes
249.48,557.26,Yes
267.3,515.02,Yes
296.34,471.57,Yes
319.55,434.17,Yes
345.73,395.01,Yes
356.4,352.55,Yes
362.56,306.35,Yes
381.7,273.9,Yes
393.69,260.26,Yes
401.72,236.72,Yes
410.74,215.16,Yes
417.34,190.74,Yes
429.77,159.83,Yes
445.94,131.78,Yes
462,122.43,Yes
482.24,115.61,Yes
496.87,104.06,Yes
512.38,81.07,Yes
515.9,60.72,Yes
526.68,41.47,Yes
541.42,21.12,Yes
547.36,13.42,Yes
558.58,7.59,Yes
565.51,3.74,Yes
585.2,0,Yes
594.66,0,Yes
602.91,0,Yes
609.95,0,Yes
619.96,0,Yes
624.8,0,Yes
623.59,0,Yes
634.37,0,Yes
633.49,0,Yes
634.81,0,Yes
638.33,0,Yes
633.6,0,Yes
632.06,0,Yes
635.58,0,Yes
633.93,0,Yes
643.17,0,Yes
637.23,0,Yes
638.66,0,Yes
641.63,0,Yes
644.49,0,Yes
648.01,0,Yes
644.71,0,Yes
646.25,0,Yes
644.6,0,Yes
639.87,0,Yes
638.55,0,Yes
638.55,0,Yes
631.51,0,Yes
627.55,0,Yes
629.64,0,Yes
627.22,0,Yes
636.13,0,Yes
631.95,0,Yes
627.66,0,Yes
626.67,4.62,Yes
622.93,9.24,Yes
619.19,13.86,Yes
613.25,25.41,Yes
608.19,44,Yes
597.74,86.57,Yes
576.29,149.16,Yes
558.25,200.64,Yes
524.04,245.85,Yes
489.39,290.18,Yes
457.05,341.33,Yes
422.4,378.51,Yes
376.64,407.33,Yes
341.22,440,Yes
302.72,466.4,Yes
272.47,487.63,Yes
239.47,509.52,Yes
214.39,530.31,Yes
203.61,541.86,Yes
191.29,551.32,Yes
187.66,560.34,Yes
171.49,563.86,Yes
156.42,566.72,Yes
131.89,576.84,Yes
108.46,579.81,Yes
83.93,579.7,Yes
59.18,581.24,Yes
50.38,588.28,Yes
45.98,585.86,Yes
35.2,588.61,Yes
22,591.69,Yes
13.2,598.4,Yes
0,608.19,Yes
0,615.34,Yes
0,615.89,Yes
0,628.54,Yes
0,635.58,Yes
0,640.86,Yes
0,648.56,Yes
0,650.87,Yes
0,655.16,Yes
0,653.95,Yes
0,650.87,Yes
0,662.2,Yes
0,660.11,Yes
0,665.39,Yes
0,665.61,Yes
0,672.65,Yes
0,675.62,Yes
0,675.84,Yes
0,680.9,Yes
0,676.94,Yes
0,682.55,Yes
0,688.49,Yes
0,681.34,Yes
0,675.62,Yes
0,684.09,Yes
0,688.27,Yes
0,692.67,Yes
0,702.24,Yes
0,706.86,Yes
0,715.66,Yes
0,723.8,Yes
0,725.67,Yes
0,730.73,Yes
0,733.15,Yes
0,727.65,Yes
0,737.99,Yes
0,733.7,Yes
0,726.55,Yes
0,733.37,Yes
0,731.39,Yes
0,730.84,Yes
0,728.64,Yes
0,716.54,Yes
0,714.89,Yes
0,705.98,Yes
0,701.14,Yes
5.06,688.05,Yes
17.71,678.59,Yes
30.36,668.8,Yes
45.54,647.9,Yes
74.91,631.29,Yes
112.53,607.31,Yes
155.65,580.8,Yes
183.15,559.24,Yes
205.92,536.47,Yes
230.89,507.1,Yes
256.19,473.33,Yes
284.79,450.01,Yes
312.07,406.67,Yes
340.45,386.21,Yes
346.72,280.72,Yes
364.1,286.99,Yes
368.94,252.34,Yes
378.51,230.89,Yes
384.67,202.95,Yes
392.37,179.19,Yes
403.04,147.84,Yes
417.01,128.04,Yes
429.33,119.9,Yes
444.73,107.14,Yes
458.81,102.08,Yes
479.27,92.73,Yes
491.92,78.87,Yes
507.98,65.23,Yes
